Individuals,Video 1,Video 2,Video 3,Video 4,Video 5,Video 6,Video 7,Video 8,Video 9,Video 10,Video 11,Video 12,Video 13,Video 14,Video 15,Video 16,Video 17,,
Fana,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,,
Yo,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,,
Velu,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,,
Kai,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,,
Jire,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,,
Pili,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,,
Tua,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
Foaf,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,,
Vui,1,1,1,0,0,0,1,1,1,1,0,1,0,0,1,0,1,,
Na,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,